[19:02:18] [info] APP: Botton left: true
[19:02:18] [info] APP: Botton left: true
[19:02:18] [info] APP: Botton left: true
[19:02:18] [info] APP: Botton left: true
[19:02:18] [info] APP: Botton left: true
[19:02:18] [info] APP: Botton left: true
[19:02:18] [info] APP: Botton left: true
[19:02:18] [info] APP: Botton left: true
[19:02:18] [info] APP: Botton left: true
[19:02:18] [info] APP: Botton left: true
[19:02:18] [info] APP: Botton left: true
[19:02:18] [info] APP: Botton left: true
[19:02:18] [info] APP: Botton left: true
[19:02:18] [info] APP: Botton left: true
[19:02:18] [info] APP: Mouse button 0 was released!
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Botton left: false
[19:02:18] [info] APP: Mouse button 0 was pressed!
[19:02:18] [info] APP: Botton left: true
[19:02:18] [info] APP: Botton left: true
[19:02:18] [info] APP: Botton left: true
[19:02:18] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Mouse button 0 was released!
[19:02:19] [info] APP: Botton left: false
[19:02:19] [info] APP: Botton left: false
[19:02:19] [info] APP: Botton left: false
[19:02:19] [info] APP: Botton left: false
[19:02:19] [info] APP: Botton left: false
[19:02:19] [info] APP: Botton left: false
[19:02:19] [info] APP: Botton left: false
[19:02:19] [info] APP: Botton left: false
[19:02:19] [info] APP: Botton left: false
[19:02:19] [info] APP: Botton left: false
[19:02:19] [info] APP: Botton left: false
[19:02:19] [info] APP: Botton left: false
[19:02:19] [info] APP: Botton left: false
[19:02:19] [info] APP: Botton left: false
[19:02:19] [info] APP: Botton left: false
[19:02:19] [info] APP: Botton left: false
[19:02:19] [info] APP: Botton left: false
[19:02:19] [info] APP: Botton left: false
[19:02:19] [info] APP: Botton left: false
[19:02:19] [info] APP: Botton left: false
[19:02:19] [info] APP: Botton left: false
[19:02:19] [info] APP: Mouse button 0 was pressed!
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:19] [info] APP: Botton left: true
[19:02:20] [info] APP: Botton left: true
[19:02:20] [info] APP: Botton left: true
[19:02:20] [info] APP: Botton left: true
[19:02:20] [info] APP: Botton left: true
[19:02:20] [info] APP: Botton left: true
[19:02:20] [info] APP: Botton left: true
[19:02:20] [info] APP: Mouse button 0 was released!
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:20] [info] APP: Botton left: false
[19:02:21] [info] APP: Botton left: false
[19:02:21] [info] APP: Botton left: false
[19:02:21] [info] APP: Botton left: false
[19:02:21] [info] APP: Botton left: false
[19:02:21] [info] APP: Botton left: false
[19:02:21] [info] APP: Botton left: false
[19:02:21] [info] APP: Botton left: false
[19:02:21] [info] APP: Botton left: false
[19:02:21] [info] APP: Botton left: false
[19:02:21] [info] APP: Botton left: false
[19:02:21] [info] APP: Botton left: false
[19:02:21] [info] APP: Botton left: false
[19:02:21] [info] APP: Botton left: false
[19:02:21] [info] APP: Botton left: false
[19:02:21] [info] APP: Botton left: false
[19:02:21] [info] APP: Botton left: false
[19:02:21] [info] APP: Botton left: false
[19:02:21] [info] APP: Botton left: false
[19:02:21] [info] APP: Botton left: false
[19:02:21] [info] APP: Botton left: false
[19:02:21] [info] APP: Botton left: false
[19:02:21] [info] APP: Botton left: false
[19:02:21] [info] APP: Botton left: false
[19:02:21] [info] APP: Botton left: false
[19:02:21] [info] APP: Botton left: false
